ruc_proveedor,id_insumo
20820385676,1
20619618192,2
20787474144,3
20619090217,4
20158069502,5
20240712590,6
20437367736,7
20408853565,8
20428934473,9
20968054721,10
20371217544,11
20106775127,12
20000040039,13
20064697114,14
20635841396,15
20725116828,16
20411508337,17
20052740955,18
20299843898,19
20174489540,20
20707451923,21
20203724291,22
20680119122,23
20980830522,24
20664029446,25
20785251408,26
20259688909,27
20811484426,28
20453422666,29
20276214210,30
20151669266,31
20744419773,32
20235363742,33
20387333426,34
20535355207,35
20207232485,36
20129727653,37
20029187497,38
20275220096,39
20487274431,40
20662020885,41
20948383093,42
20631105778,43
20637045586,44
20158321192,45
20134881068,46
20347867784,47
20527952778,48
20508988208,49
20456913480,50
20918422894,51
20946397239,52
20119051764,53
20560888017,54
20178720014,55
20042469694,56
20890955828,57
20694151300,58
20782502828,59
20651121569,60
20402300766,61
20658306065,62
20121445223,63
20753092590,64
20176645835,65
20244436578,66
20611307143,67
20081688804,68
20594941120,69
20592479610,70
20141155924,71
20432743818,72
20595878053,73
20381303153,74
20057704774,75
20874678755,76
20391695829,77
20804639306,78
20962949632,79
20457566347,80
20928986300,81
20676265973,82
20034461100,83
20260974245,84
20637557824,85
20855723809,86
20974709729,87
20435989748,88
20597551353,89
20153640114,90
20284624849,91
20916800737,92
20892887341,93
20521305580,94
20262083052,95
20249596359,96
20992349710,97
20040980426,98
20263180680,99
20844152046,100
20630395010,101
20871210702,102
20590717105,103
20778739148,104
20600387059,105
20803489819,106
20900606208,107
20148472734,108
20559343258,109
20776132562,110
20604889323,111
20448518330,112
20884828561,113
20541292532,114
20535832287,115
20136539415,116
20252767923,117
20876918286,118
20437861814,119
20459809340,120
20208440334,121
20753746370,122
20765012021,123
20938807896,124
20025089999,125
20842849985,126
20375508325,127
20765898599,128
20495344153,129
20835046977,130
20552282642,131
20667937951,132
20382701786,133
20537468169,134
20726546066,135
20290084766,136
20590986358,137
20873091267,138
20373640343,139
20483213614,140
20213431842,141
20736729483,142
20306786847,143
20056529943,144
20244998211,145
20685855699,146
20312907242,147
20756590763,148
20894368373,149
20310702764,150
20134803337,151
20212741548,152
20103609211,153
20553632805,154
20918680577,155
20584609936,156
20597093666,157
20692317967,158
20016415196,159
20099970473,160
20227424230,161
20094701368,162
20895829882,163
20209708627,164
20225354416,165
20803346261,166
20343982437,167
20663308853,168
20788763887,169
20702070253,170
20917298637,171
20690093351,172
20461676540,173
20370723803,174
20477946068,175
20880883709,176
20361923424,177
20953446739,178
20991867442,179
20110799363,180
20764472857,181
20088428771,182
20512557273,183
20699870996,184
20712386892,185
20660510836,186
20633549745,187
20239661348,188
20400319650,189
20229759563,190
20053702723,191
20294962592,192
20400695858,193
20986987598,194
20056778457,195
20765583988,196
20705247160,197
20256153138,198
20598198058,199
20479943896,200
20988592280,201
20787478031,202
20302300166,203
20184080049,204
20209005258,205
20263730139,206
20658075758,207
20746740219,208
20292618370,209
20405732596,210
20919095627,211
20650577645,212
20301362449,213
20813629035,214
20903178192,215
20845367697,216
20681267178,217
20608678903,218
20054319785,219
20598995518,220
20666707288,221
20132972572,222
20998585065,223
20347370158,224
20321633372,225
20071277086,226
20015704321,227
20466614079,228
20049385005,229
20175623043,230
20550697477,231
20864863899,232
20461196845,233
20702081932,234
20692322752,235
20098824683,236
20446477913,237
20487927113,238
20629038242,239
20032608990,240
20657384271,241
20224013806,242
20843407277,243
20566901107,244
20934704019,245
20302450697,246
20641762033,247
20786094886,248
20793634135,249
20434811541,250
20057707418,251
20975243649,252
20951669101,253
20795502915,254
20693093928,255
20078563397,256
20589403340,257
20565367266,258
20446003062,259
20557996864,260
20425700244,261
20971824346,262
20165430221,263
20067195348,264
20384826888,265
20512552641,266
20634291877,267
20372303685,268
20772299969,269
20560358285,270
20591878652,271
20143049875,272
20404382060,273
20545888782,274
20959714166,275
20787473306,276
20714057227,277
20415375583,278
20633674919,279
20064735662,280
20043215220,281
20397700256,282
20656442143,283
20871946959,284
20599110902,285
20444460237,286
20602784427,287
20502943155,288
20272337837,289
20155262212,290
20202147500,291
20042358773,292
20247844246,293
20040849770,294
20433106931,295
20496221546,296
20755136608,297
20103331779,298
20464861401,299
20773610246,300
20759011494,301
20209359489,302
20091300491,303
20200856690,304
20089208167,305
20593792353,306
20035976925,307
20074562908,308
20987112870,309
20818379204,310
20025148769,311
20059586834,312
20103969244,313
20652382280,314
20110654418,315
20110467305,316
20917192396,317
20529452617,318
20081646964,319
20216321314,320
20690523900,321
20361244448,322
20028372020,323
20336716740,324
20910364701,325
20872666561,326
20363986573,327
20506090384,328
20019551332,329
20562740389,330
20300706863,331
20907471684,332
20836895642,333
20227615478,334
20347230937,335
20193721221,336
20715617829,337
20929526301,338
20603435665,339
20661148413,340
20974323258,341
20478778264,342
20844254466,343
20845355769,344
20422205661,345
20578381168,346
20680238613,347
20612008272,348
20401266957,349
20071968430,350
20513261758,351
20193953469,352
20910552267,353
20270848633,354
20522218220,355
20345065132,356
20664888854,357
20841563355,358
20327035140,359
20683931066,360
20104891008,361
20747832994,362
20070768080,363
20575557998,364
20116800763,365
20162824451,366
20183877175,367
20387221762,368
20744461029,369
20108536498,370
20983654372,371
20884123781,372
20850595856,373
20208640609,374
20774580151,375
20350925709,376
20785820936,377
20305787340,378
20522685356,379
20211292623,380
20060114272,381
20545384283,382
20615483068,383
20679227324,384
20980203053,385
20523153511,386
20658249222,387
20447662639,388
20914166825,389
20400382325,390
20493722506,391
20571986134,392
20075711659,393
20579531573,394
20220030516,395
20751572964,396
20606698431,397
20745537045,398
20932185806,399
20689701200,400
20623926951,401
20577092362,402
20791291201,403
20292860249,404
20094872659,405
20535914881,406
20817372900,407
20160750102,408
20849732709,409
20325058568,410
20148141306,411
20441759320,412
20231876523,413
20075928551,414
20290486528,415
20375880236,416
20040432182,417
20750426030,418
20319536349,419
20680378924,420
