id_tratamiento,id_insumo
324998,1
983801,2
750088,3
649729,4
916394,5
751521,6
356450,7
880953,8
413106,9
333283,10
15344,11
784981,12
297498,13
285460,14
995238,15
484149,16
743835,17
107238,18
428637,19
231292,20
972900,21
395032,22
267313,23
507881,24
579842,25
381625,26
775164,27
295091,28
721068,29
379860,30
477881,31
712423,32
155914,33
385463,34
407567,35
159130,36
830156,37
630335,38
152044,39
502039,40
227101,41
137180,42
256148,43
376031,44
171339,45
611186,46
231357,47
582805,48
964112,49
111991,50
20474,51
917531,52
896031,53
427094,54
244255,55
708687,56
655796,57
633822,58
474074,59
82737,60
496782,61
437493,62
850439,63
64584,64
559978,65
690486,66
829599,67
726330,68
206633,69
4283,70
712247,71
907878,72
578848,73
568292,74
733741,75
980827,76
178174,77
422726,78
538388,79
202521,80
608589,81
977253,82
887588,83
656005,84
858693,85
863653,86
482228,87
710626,88
788031,89
211813,90
225187,91
732061,92
290328,93
802719,94
130207,95
814852,96
210761,97
741084,98
65531,99
418268,100
472812,101
524612,102
404723,103
88112,104
103465,105
868754,106
845499,107
623018,108
468265,109
425054,110
886521,111
465892,112
393814,113
168307,114
519059,115
545883,116
523904,117
978156,118
711657,119
431407,120
635402,121
973093,122
639965,123
515201,124
3414,125
88056,126
585131,127
893012,128
445859,129
181570,130
535140,131
754052,132
578366,133
652819,134
854687,135
488385,136
559246,137
938976,138
661076,139
726086,140
129582,141
273477,142
176022,143
786773,144
67980,145
197739,146
945988,147
207148,148
702099,149
455426,150
739644,151
457085,152
799361,153
953416,154
680627,155
458467,156
877416,157
725609,158
140195,159
45412,160
258132,161
801401,162
622997,163
243633,164
351682,165
382286,166
772543,167
762260,168
796596,169
183,170
797674,171
279828,172
343982,173
477430,174
247446,175
549388,176
204377,177
195627,178
482957,179
768370,180
930894,181
343979,182
377851,183
504038,184
655017,185
88185,186
89952,187
638918,188
286743,189
8278,190
216683,191
337510,192
691752,193
330469,194
29868,195
885012,196
377216,197
4464,198
537302,199
753820,200
806820,201
468168,202
964717,203
697217,204
92885,205
340156,206
637847,207
475322,208
331176,209
418352,210
353432,211
831426,212
775273,213
639388,214
16987,215
72816,216
104931,217
584362,218
969638,219
937544,220
632508,221
194246,222
5321,223
835712,224
779544,225
934325,226
449199,227
525193,228
816890,229
187982,230
576246,231
207295,232
352972,233
585294,234
536769,235
180205,236
173702,237
512744,238
851347,239
43935,240
102644,241
948202,242
47007,243
997624,244
316986,245
518223,246
