id,nombre,id_boleta
1,Vacunación,1
2,Limpieza dental,2
3,Limpieza dental,3
4,Limpieza dental,4
5,Desparasitación,5
6,Cirugía menor,6
7,Limpieza dental,7
8,Vacunación,8
9,Cirugía menor,9
10,Antibióticos,10
11,Cirugía menor,11
12,Antibióticos,12
13,Desparasitación,13
14,Desparasitación,14
15,Cirugía menor,15
16,Vacunación,16
17,Cirugía menor,17
18,Limpieza dental,18
19,Desparasitación,19
20,Limpieza dental,20
21,Antibióticos,21
22,Desparasitación,22
23,Vacunación,23
24,Antibióticos,24
25,Desparasitación,25
26,Limpieza dental,26
27,Desparasitación,27
28,Antibióticos,28
29,Cirugía menor,29
30,Vacunación,30
31,Desparasitación,31
32,Antibióticos,32
33,Antibióticos,33
34,Desparasitación,34
35,Vacunación,35
36,Desparasitación,36
37,Limpieza dental,37
38,Desparasitación,38
39,Vacunación,39
40,Vacunación,40
41,Vacunación,41
42,Antibióticos,42
43,Limpieza dental,43
44,Desparasitación,44
45,Cirugía menor,45
46,Antibióticos,46
47,Antibióticos,47
48,Desparasitación,48
49,Limpieza dental,49
50,Antibióticos,50
51,Antibióticos,51
52,Limpieza dental,52
53,Desparasitación,53
54,Desparasitación,54
55,Antibióticos,55
56,Desparasitación,56
57,Desparasitación,57
58,Vacunación,58
59,Limpieza dental,59
60,Vacunación,60
61,Desparasitación,61
62,Antibióticos,62
63,Cirugía menor,63
64,Limpieza dental,64
65,Limpieza dental,65
66,Cirugía menor,66
67,Cirugía menor,67
68,Vacunación,68
69,Cirugía menor,69
70,Cirugía menor,70
71,Antibióticos,71
72,Cirugía menor,72
73,Cirugía menor,73
74,Limpieza dental,74
75,Cirugía menor,75
76,Antibióticos,76
77,Desparasitación,77
78,Limpieza dental,78
79,Limpieza dental,79
80,Desparasitación,80
81,Limpieza dental,81
82,Limpieza dental,82
83,Antibióticos,83
84,Antibióticos,84
85,Limpieza dental,85
86,Cirugía menor,86
87,Vacunación,87
88,Cirugía menor,88
89,Desparasitación,89
90,Cirugía menor,90
91,Antibióticos,91
92,Antibióticos,92
93,Limpieza dental,93
94,Vacunación,94
95,Cirugía menor,95
96,Desparasitación,96
97,Desparasitación,97
98,Vacunación,98
99,Vacunación,99
100,Antibióticos,100
101,Desparasitación,101
102,Desparasitación,102
103,Limpieza dental,103
104,Vacunación,104
105,Cirugía menor,105
106,Limpieza dental,106
107,Vacunación,107
108,Antibióticos,108
109,Desparasitación,109
110,Limpieza dental,110
111,Antibióticos,111
112,Cirugía menor,112
113,Cirugía menor,113
114,Desparasitación,114
115,Cirugía menor,115
116,Limpieza dental,116
117,Limpieza dental,117
118,Cirugía menor,118
119,Antibióticos,119
120,Desparasitación,120
121,Desparasitación,121
122,Antibióticos,122
123,Vacunación,123
124,Desparasitación,124
125,Limpieza dental,125
126,Antibióticos,126
127,Vacunación,127
128,Antibióticos,128
129,Cirugía menor,129
130,Cirugía menor,130
131,Cirugía menor,131
132,Cirugía menor,132
133,Antibióticos,133
134,Antibióticos,134
135,Cirugía menor,135
136,Cirugía menor,136
137,Cirugía menor,137
138,Desparasitación,138
139,Desparasitación,139
140,Cirugía menor,140
141,Vacunación,141
142,Vacunación,142
143,Limpieza dental,143
144,Desparasitación,144
145,Desparasitación,145
146,Cirugía menor,146
147,Limpieza dental,147
148,Antibióticos,148
149,Desparasitación,149
150,Antibióticos,150
151,Cirugía menor,151
152,Vacunación,152
153,Desparasitación,153
154,Vacunación,154
155,Antibióticos,155
156,Desparasitación,156
157,Cirugía menor,157
158,Limpieza dental,158
159,Antibióticos,159
160,Desparasitación,160
161,Desparasitación,161
162,Antibióticos,162
163,Vacunación,163
164,Antibióticos,164
165,Cirugía menor,165
166,Desparasitación,166
167,Cirugía menor,167
168,Desparasitación,168
169,Limpieza dental,169
170,Vacunación,170
171,Cirugía menor,171
172,Desparasitación,172
173,Cirugía menor,173
174,Desparasitación,174
175,Antibióticos,175
176,Limpieza dental,176
177,Antibióticos,177
178,Vacunación,178
179,Limpieza dental,179
180,Vacunación,180
181,Antibióticos,181
182,Antibióticos,182
183,Cirugía menor,183
184,Antibióticos,184
