id,nombre,id_boleta
300001,Limpieza dental,300001
300002,Antibióticos,300002
300003,Cirugía menor,300003
300004,Antibióticos,300004
300005,Desparasitación,300005
300006,Antibióticos,300006
300007,Desparasitación,300007
300008,Vacunación,300008
300009,Cirugía menor,300009
300010,Cirugía menor,300010
300011,Desparasitación,300011
300012,Vacunación,300012
300013,Antibióticos,300013
300014,Vacunación,300014
300015,Desparasitación,300015
300016,Cirugía menor,300016
300017,Desparasitación,300017
300018,Desparasitación,300018
300019,Desparasitación,300019
300020,Desparasitación,300020
300021,Antibióticos,300021
300022,Vacunación,300022
300023,Desparasitación,300023
300024,Limpieza dental,300024
300025,Cirugía menor,300025
300026,Desparasitación,300026
300027,Desparasitación,300027
300028,Cirugía menor,300028
300029,Cirugía menor,300029
300030,Antibióticos,300030
300031,Antibióticos,300031
300032,Cirugía menor,300032
300033,Desparasitación,300033
300034,Vacunación,300034
300035,Limpieza dental,300035
300036,Limpieza dental,300036
300037,Cirugía menor,300037
300038,Desparasitación,300038
300039,Cirugía menor,300039
300040,Desparasitación,300040
300041,Antibióticos,300041
300042,Vacunación,300042
300043,Limpieza dental,300043
300044,Antibióticos,300044
300045,Vacunación,300045
300046,Antibióticos,300046
300047,Limpieza dental,300047
300048,Antibióticos,300048
300049,Limpieza dental,300049
300050,Limpieza dental,300050
300051,Desparasitación,300051
300052,Desparasitación,300052
300053,Antibióticos,300053
300054,Cirugía menor,300054
300055,Antibióticos,300055
300056,Desparasitación,300056
300057,Cirugía menor,300057
300058,Antibióticos,300058
300059,Antibióticos,300059
300060,Cirugía menor,300060
300061,Cirugía menor,300061
300062,Antibióticos,300062
300063,Limpieza dental,300063
300064,Desparasitación,300064
300065,Antibióticos,300065
300066,Vacunación,300066
300067,Cirugía menor,300067
300068,Vacunación,300068
300069,Cirugía menor,300069
300070,Vacunación,300070
300071,Limpieza dental,300071
300072,Vacunación,300072
300073,Vacunación,300073
300074,Vacunación,300074
300075,Cirugía menor,300075
300076,Vacunación,300076
300077,Limpieza dental,300077
300078,Antibióticos,300078
300079,Cirugía menor,300079
300080,Vacunación,300080
300081,Limpieza dental,300081
300082,Cirugía menor,300082
300083,Antibióticos,300083
300084,Vacunación,300084
300085,Limpieza dental,300085
300086,Limpieza dental,300086
300087,Vacunación,300087
300088,Antibióticos,300088
300089,Antibióticos,300089
300090,Desparasitación,300090
300091,Cirugía menor,300091
300092,Antibióticos,300092
300093,Cirugía menor,300093
300094,Limpieza dental,300094
300095,Vacunación,300095
300096,Antibióticos,300096
300097,Limpieza dental,300097
300098,Desparasitación,300098
300099,Cirugía menor,300099
300100,Vacunación,300100
300101,Cirugía menor,300101
300102,Antibióticos,300102
300103,Antibióticos,300103
300104,Vacunación,300104
300105,Desparasitación,300105
300106,Limpieza dental,300106
300107,Vacunación,300107
300108,Antibióticos,300108
300109,Vacunación,300109
300110,Desparasitación,300110
300111,Cirugía menor,300111
300112,Desparasitación,300112
300113,Vacunación,300113
300114,Desparasitación,300114
300115,Antibióticos,300115
300116,Cirugía menor,300116
300117,Cirugía menor,300117
300118,Vacunación,300118
300119,Limpieza dental,300119
300120,Vacunación,300120
300121,Cirugía menor,300121
300122,Desparasitación,300122
300123,Limpieza dental,300123
300124,Desparasitación,300124
300125,Desparasitación,300125
300126,Antibióticos,300126
300127,Cirugía menor,300127
300128,Antibióticos,300128
300129,Limpieza dental,300129
300130,Limpieza dental,300130
300131,Desparasitación,300131
300132,Cirugía menor,300132
300133,Limpieza dental,300133
300134,Limpieza dental,300134
300135,Cirugía menor,300135
300136,Desparasitación,300136
300137,Antibióticos,300137
300138,Cirugía menor,300138
300139,Cirugía menor,300139
300140,Limpieza dental,300140
300141,Antibióticos,300141
300142,Desparasitación,300142
300143,Antibióticos,300143
300144,Antibióticos,300144
300145,Limpieza dental,300145
300146,Antibióticos,300146
300147,Limpieza dental,300147
300148,Desparasitación,300148
300149,Limpieza dental,300149
300150,Limpieza dental,300150
300151,Limpieza dental,300151
300152,Desparasitación,300152
300153,Limpieza dental,300153
300154,Antibióticos,300154
300155,Desparasitación,300155
300156,Antibióticos,300156
300157,Desparasitación,300157
300158,Desparasitación,300158
300159,Vacunación,300159
300160,Desparasitación,300160
300161,Limpieza dental,300161
300162,Vacunación,300162
300163,Desparasitación,300163
300164,Vacunación,300164
300165,Desparasitación,300165
300166,Antibióticos,300166
300167,Desparasitación,300167
300168,Antibióticos,300168
300169,Limpieza dental,300169
300170,Vacunación,300170
300171,Antibióticos,300171
300172,Limpieza dental,300172
300173,Vacunación,300173
300174,Limpieza dental,300174
300175,Limpieza dental,300175
300176,Limpieza dental,300176
